gene_name,b_number,Ref_seq,WG_1.11,WGM_0.62,WGMC_0.62,WHIC_0.35,Pearson,Slope
csgD,b1040,WP_000481509.1,-1.280658747,1.200918462,0.282119938,1.437487253,-0.944473916,-3.67509812
hdhA,b1619,WP_000483353.1,0.307990012,0.988004739,1.199509899,2.048120236,-0.956682196,-2.166755489
ytjA,b4568,WP_000490275.1,-0.207344848,1.001316468,1.368577051,3.199549943,-0.940568605,-4.188743382
bdm,b1481,WP_000495771.1,-0.531939069,0.900762264,1.602648298,2.48620334,-0.971752849,-3.911921441
osmB,b1283,WP_000498253.1,-0.398843325,1.334913463,1.298958855,2.427432937,-0.998589714,-3.679878792
tatE,b0627,WP_000503931.1,-0.115038337,0.570967755,0.31620022,1.422109429,-0.911879914,-1.864478164
yqaE,b2666,WP_000508177.1,0.10152238,0.361330483,0.403823715,1.448004397,-0.829118949,-1.557071036
ygaU,b2665,WP_000522415.1,0.429060306,1.143177343,1.580945009,2.441655378,-0.946013421,-2.514867046
yqjG,b3102,WP_000531213.1,0.528120183,0.992487584,1.000872258,2.039672816,-0.894069088,-1.803908862
ivy,b0220,WP_000532698.1,0.005601538,0.758330335,1.318415255,2.544202386,-0.923265691,-3.119475288
trxB,b0888,WP_000537418.1,-0.473637325,-0.239311384,0.171147647,0.955715291,-0.860211567,-1.704522102
yfcG,b2302,WP_000566471.1,0.26366647,0.721643547,0.584976062,2.122478648,-0.828157403,-2.150132019
gadE,b3512,WP_000576690.1,-1.764503976,2.755809695,3.157943658,2.33649097,-0.854242316,-6.155451078
ggt,b3447,WP_000595082.1,0.604346762,1.061269997,1.226995324,2.304237396,-0.894535902,-2.033369574
adhP,b1478,WP_000642433.1,0.113453541,0.927897701,0.768551511,1.593035624,-0.973087077,-1.866696558
yagS,b0285,WP_000643333.1,0.328125463,1.056828739,1.088033772,2.101855593,-0.950626923,-2.18788943
ybdR,b0608,WP_000646173.1,0.432622927,1.469776156,1.564848365,3.331134115,-0.92894456,-3.527191633
clsB,b0789,WP_000650337.1,0.528030481,1.096096832,1.145176581,1.869483409,-0.959284643,-1.665533023
can,b0126,WP_000651599.1,-0.503046845,-0.034145397,0.525952884,1.372538339,-0.902999257,-2.299600364
yagR,b0284,WP_000667026.1,0.51574581,1.337991532,0.958912154,2.165639584,-0.910932882,-2.013337122
yggE,b2922,WP_000669834.1,-0.482798273,0.281931584,0.804319572,1.074822485,-0.950238146,-2.057422299
ydeI,b1536,WP_000671737.1,0.496400939,1.602403863,2.062097412,3.289456276,-0.960161795,-3.505106186
bfr,b3336,WP_000675504.1,0.686718827,1.064574354,1.556755631,2.143888577,-0.904699892,-1.801974898
mdtA,b2074,WP_000678989.1,-0.383776778,0.344334327,0.12682416,1.03729004,-0.946622867,-1.761302353
ytfK,b4217,WP_000689228.1,0.625706285,1.2328625,1.741720642,2.210923133,-0.942938374,-2.027151403
yncD,b1451,WP_000689363.1,-0.679208578,-0.432788115,0.182137101,1.37290531,-0.836268693,-2.418956967
yohP,b4679,WP_000691708.1,1.348545239,1.969435403,1.576271637,3.271895956,-0.822716669,-2.23251211
yahO,b0329,WP_000691956.1,0.845928881,1.441229494,2.495627553,2.79070739,-0.876467066,-2.510893906
yahK,b0325,WP_000692754.1,0.393423225,1.030769135,1.330218032,1.836120623,-0.969963814,-1.845976716
narY,b1467,WP_000702535.1,0.636088486,1.64006414,1.457058703,2.511104505,-0.971114006,-2.35876447
ydhS,b1668,WP_000716950.1,0.334431581,0.925250502,1.133052143,1.869737791,-0.955370273,-1.912242239
yjbH,b4029,WP_000745776.1,-0.885057747,-0.198862493,-0.271430263,0.604624105,-0.956608864,-1.846583092
ygdI,b2809,WP_000750398.1,0.402503982,1.208835376,1.599685571,1.984658402,-0.971652493,-2.075086077
hdeA,b3510,WP_000756550.1,-1.48454636,2.921938656,4.098121654,3.776828608,-0.918228664,-7.508641679
ybaY,b0453,WP_000779842.1,-0.19992005,0.455904702,1.457946756,2.536400631,-0.894686067,-3.378389024
ybgS,b0753,WP_000784351.1,0.677052392,1.6832259,2.237889222,3.159468005,-0.960561769,-3.15045079
yqjE,b3099,WP_000785722.1,0.382527848,0.853312326,0.76662932,1.780682469,-0.889962289,-1.666397405
yiiQ,b3920,WP_000802216.1,-1.056484854,-0.345363736,0.317707204,0.406368505,-0.913572578,-1.961181676
yegS,b2086,WP_000807348.1,0.142904735,1.087893281,1.222410517,2.565050937,-0.9485857,-2.986190442
yciG,b1259,WP_000807651.1,0.299211097,1.770674107,2.094827647,3.678444645,-0.97026152,-4.24705975
poxB,b0871,WP_000815337.1,0.380569465,1.163653489,1.211332484,1.978132132,-0.98067061,-2.020503337
pgl,b0767,WP_000815435.1,0.187579613,0.676458192,0.735353758,1.611331489,-0.92344809,-1.727269058
yhdV,b3267,WP_000825639.1,0.339977871,1.793803342,0.980125778,3.138700234,-0.893483822,-3.405627463
yhhA,b3448,WP_000825996.1,0.506856014,1.045779729,1.435632899,1.779669404,-0.952402006,-1.643030524
rmf,b0953,WP_000828648.1,1.877223353,2.259990385,2.46856394,4.556064336,-0.809079318,-3.071449778
csgE,b1039,WP_000833288.1,-2.235201136,1.0579584,0.058093052,1.562550877,-0.963261452,-5.123045393
sra,b1480,WP_000841554.1,0.124014934,1.316414307,1.602176739,2.371325005,-0.98975425,-2.915442465
ymgA,b1165,WP_000858002.1,0.025489143,0.834108121,1.593968414,2.014242774,-0.933296142,-2.582536836
ompC,b2215,WP_000865568.1,-1.002588686,0.457851729,0.500292975,0.552696145,-0.932972238,-2.221503104
ybaA,b0456,WP_000878140.1,-0.405420845,0.602596064,0.168691125,1.816860448,-0.903562325,-2.689459982
ybcM,b0546,WP_000881075.1,-0.269227198,0.502044935,0.371295209,0.919976939,-0.991655988,-1.542505963
glsA1,b0485,WP_000883034.1,-1.528701876,1.081276333,1.808822076,1.131384339,-0.85178182,-3.960254699
yfjW,b2642,WP_000896263.1,-0.279374396,0.444258398,0.806908873,1.25858098,-0.970778906,-1.991960388
treF,b3519,WP_000934216.1,0.59511962,1.570350994,1.612468083,2.122736969,-0.999586082,-2.014182552
hdeD,b3511,WP_000965672.1,-1.349344929,2.822499532,3.432980262,3.111482227,-0.908677166,-6.454796134
yciI,b1251,WP_000967595.1,-0.344626877,0.00971733,0.261020188,1.073368984,-0.897151947,-1.707039464
ybaT,b0486,WP_000982172.1,-1.584575256,0.903658966,1.039765885,0.860300073,-0.897278901,-3.575194838
potG,b0855,WP_000996005.1,-0.219624488,0.328637627,0.181414849,1.290324215,-0.892687862,-1.804403151
talA,b2464,WP_001003709.1,-0.088800857,1.089848022,0.99801086,1.607278811,-0.998130228,-2.246016035
nagE,b0679,WP_001023093.1,2.084567452,5.095322036,5.043339742,5.959328707,-0.986629554,-5.276242559
ydeJ,b1537,WP_001024746.1,0.167024438,0.948238124,1.005509022,2.704120864,-0.899263209,-3.036356741
argS,b1876,WP_001025322.1,-0.831486318,-0.525760034,0.017910522,0.451441088,-0.887164301,-1.596820135
yhiM,b3491,WP_001028905.1,-1.21451175,0.427188819,1.625550784,0.854586213,-0.806584195,-3.054017311
yhcO,b3239,WP_001029013.1,0.871657106,1.145827244,1.374401469,2.321484867,-0.858726844,-1.707957195
yjbJ,b4045,WP_001030593.1,0.274079498,1.452460237,1.855853469,1.785535041,-0.922883512,-2.137027453
ycfJ,b1110,WP_001043459.1,-0.508106282,0.451128554,0.316921893,1.340807595,-0.971875933,-2.323135512
rclA,b0304,WP_001046307.1,0.640774097,1.062538348,1.619505512,2.360162134,-0.900011194,-2.113088646
ybgA,b0707,WP_001053305.1,0.189508448,0.848140909,1.13838833,1.555665188,-0.975546211,-1.769405514
ybiS,b0819,WP_001056384.1,-0.325610553,0.320368998,0.369579259,1.159892999,-0.963112672,-1.849627681
yciF,b1258,WP_001056490.1,-0.623625086,0.854299083,1.821051561,2.315000612,-0.951942613,-3.890981711
potI,b0857,WP_001061658.1,-0.298509985,0.413762807,0.262478648,1.079055839,-0.961799243,-1.720632341
yciE,b1257,WP_001079505.1,-0.370925513,0.799900427,1.287018107,2.302887502,-0.971118973,-3.405023449
mdtE,b3513,WP_001081984.1,-1.489392732,2.338399188,2.477304339,2.057492418,-0.876838626,-5.255681516
dacA,b0632,WP_001092082.1,-0.813424694,-0.282748675,0.164638703,0.677113673,-0.939957406,-1.885695039
yphA,b2543,WP_001094726.1,1.244486462,1.827580539,1.593568385,2.647462224,-0.895209514,-1.685732146
trxC,b2582,WP_001098726.1,-0.463615311,-0.259242209,-0.04197132,1.055206549,-0.820554878,-1.754895463
galP,b2943,WP_001112301.1,-0.425684256,0.182410679,0.57528023,1.397408895,-0.938344171,-2.263222142
ybhP,b0790,WP_001113348.1,0.748187186,1.395621871,1.477118422,2.327999955,-0.956204411,-1.957923813
luxS,b2687,WP_001130211.1,0.144682371,0.610829303,0.79060573,1.355154791,-0.956111959,-1.510692598
phnB,b4107,WP_001131339.1,0.703721563,1.38928408,1.406696389,3.048303023,-0.885759008,-2.786169919
yceA,b1055,WP_001144615.1,-0.070465249,0.047513297,0.605037172,1.378410526,-0.81876536,-1.709957061
btuE,b1710,WP_001154168.1,0.400578778,0.615061062,0.731792315,1.706846807,-0.826750804,-1.510636023
dcm,b1961,WP_001157239.1,-0.940840115,-0.161726808,-0.066140438,0.353320052,-0.997353238,-1.700105578
narW,b1466,WP_001166353.1,0.273187572,0.916186327,0.426684456,2.114720536,-0.810248268,-2.134614401
yjdC,b4135,WP_001188520.1,0.128079545,0.399515809,0.514046888,1.466638477,-0.851177355,-1.56593171
arcA,b4401,WP_001194358.1,-0.381858384,0.532612424,1.059351832,1.571507606,-0.964608011,-2.540400143
narU,b1469,WP_001207901.1,0.153782781,1.029204594,0.53796994,2.077054531,-0.877614814,-2.307550057
yobH,b4536,WP_001211011.1,-0.312024492,0.414966048,0.339698702,0.850008932,-0.995444053,-1.507112391
guaC,b0104,WP_001217338.1,-0.639756593,0.453456183,0.986331059,0.699432521,-0.866178352,-1.94349613
