Name,gene,locus_tag,Stationary rep1,Stationary rep2,Stationary rep3,3h fresh media rep1,3h fresh media rep2,3h fresh media rep3,3h queueing rep1,3h queueing rep2,3h queueing rep3,3h amp media rep1,3h amp media rep2,3h amp media rep3,3h queueing amp rep1,3h queueing amp rep2,3h queueing amp rep3,6h amp media rep1,6h amp media rep2,6h amp media rep3
aaaD CDS,aaaD,b4634,2,3,2,311.5,215,5.5,8.5,120.5,16,121,152,32.5,55,14.5,12,6,3.5,2.5
aaaE CDS,aaaE,b4693,0,1.17,5.83,980.83,582.67,24.5,3.33,323.5,40.33,377.5,360,88.67,154.83,69.67,53.83,3.33,2,6.33
aaeA CDS,aaeA,b3241,3,4,11.5,1272.5,820.5,488,140.5,553,575.5,452,687,1055,462,612.5,548,49.5,75,64
aaeB CDS,aaeB,b3240,3,13,9,3021,1713,473.5,67.5,1345,606.5,1371,2125.5,1013,520,646.5,590.5,43.5,81,124
aaeR CDS,aaeR,b3243,3.5,10,12,2038,1165.5,1240.5,516.5,968,2107.5,1014,1874.5,4226,752.5,2348,2532,146,162.5,181
aaeX CDS,aaeX,b3242,2,2,3.5,545,322,475,171,249.5,759,212,371,1397,335,806.5,754,46,58,95.5
aas CDS,aas,b2836,19,7,25,2872,1879,1431.5,161,1592,1683.5,1495,2870,3014,670,2402,1971.5,165,177,218
aat CDS,aat,b0885,2,5,12.5,1177.5,797,274,109,714,499.5,805,1048.5,986.5,393,559,491,76,88.5,101
abgA CDS,abgA,b1338,3,10,19,1909.5,1364,135.5,7.5,750.5,402.5,769.5,830.5,527.5,288.5,381.5,245.5,20,24.5,32
abgB CDS,abgB,b1337,5,5,16,1991.5,1210,138.5,52.5,876.5,491.5,972,1217.5,708,365.5,467.5,329,33,19,64.5
abgR CDS,abgR,b1339,2,4,10,1100,783,255,44,566,545,539,665,671,280,442,425,37,16,20
abgT CDS,abgT,b1336,7,1,9,1802.5,1038,63.5,34,736,129,684,758.5,335,319,250,208,13,22,30.5
abpA CDS,abpA,b2628,11,18.5,18.5,1863.5,1397.5,786,217,860,1129.5,912.5,1264.5,1477,501.5,1135,1034,92.5,128.5,129
abpB CDS,abpB,b2627,9,1.5,13.5,2097.5,1452.5,600,158,842,784.5,698.5,1104.5,1297,498.5,763,757,121.5,137.5,146
abrB CDS,abrB,b0715,3,8,14.5,1782,950.5,294.5,112.5,901.5,315.5,1134.5,1397,1010,400,716,989,64,31,46.5
accA CDS,accA,b0185,17,8.5,21.5,2670.5,1257.5,11096,951.5,1192,13507.5,1588,7120,14932.5,1877,10851,9870,996,990,1281
accB CDS,accB,b3255,4,17,21,2165,1003.5,8673,1142.5,1051.5,8432.5,1479.5,3516,11106,2124,8356.5,9518,1353.5,1227.5,1842
accC CDS,accC,b3256,14,18,37,4770.5,2163.5,22101,1987,2487.5,19820,2945.5,10789,24824.5,3334.5,18627.5,23063,3015.5,2771.5,4285
accD CDS,accD,b2316,15,10,17.5,2620.5,1994,11141.5,1042.5,1866,12183,1690,8512,19602,2059,15006.5,13898.5,2910,2920,4381.5
aceA CDS,aceA,b4015,22.5,5.5,35.5,5377.5,2195.5,13499,357.5,1121,5625,1666.5,6439,6601.5,3146,4718.5,6477,614,605,1019.5
aceB CDS,aceB,b4014,36.5,22.5,30.5,5184.5,2383.5,18472,466.5,1280,4753,2532.5,6298,6946.5,3979,5719.5,9588,528,541,938.5
aceE CDS,aceE,b0114,58,48.5,59,11328.5,5468.5,49558,5564,6738,71591.5,3663.5,46466.5,96741,5539.5,75400.5,81034.5,13987.5,13150.5,20316
aceF CDS,aceF,b0115,34,26.5,50,9633.5,4827.5,43109,3883,4911,71757.5,3282.5,43196.5,87136,4538.5,63496.5,74235.5,10671.5,9823.5,14566
aceK CDS,aceK,b4016,43,30,35.5,3146,1669,1145.5,92,1273.5,788.5,1354.5,2595,1171.5,960.5,843,824.5,125,139,203
ackA CDS,ackA,b2296,83,65,62.5,1767,1118,2542.5,604.5,1009.5,3748.5,764.5,2086,5116,1032,3050.5,2440,1735.5,1576,2141
acnA CDS,acnA,b1276,110.5,45.5,63.5,11515,4061,33154,2961,2404.5,49726,3775,48187.5,70247,4479.5,46785,40857,331,299,353
acnB CDS,acnB,b0118,49,92,164,23934,12458,107328,7491,9380,135969,11360,73748,187284,20165,123561,99616,3934,3665,5770
acpH CDS,acpH,b0404,19.5,5.5,4,1121,585,389.5,102.5,548,725,609,1063,1362.5,205.5,931,856,131.5,148,164
acpP CDS,acpP,b1094,74,40,37.5,4821,2558.5,22812.5,2940,2210,27813.5,2644,15679.5,29776,4774,20985.5,17394.5,4340.5,4173.5,5206
acpS CDS,acpS,b2563,0,0,4,457.5,216.5,657.5,39,207,699.5,285.5,555.5,735.5,137,523,537.5,42.5,39.5,52.5
acpT CDS,acpT,b3475,9.5,5,5,1691.5,1093.5,448,113.5,779,548,632,1649,986.5,380.5,700.5,543.5,133.5,93.5,122.5
acrA CDS,acrA,b0463,8,4.5,18.5,2111.5,1044.5,11167.5,790.5,816.5,13431,1546.5,7450,16008.5,1421.5,12697.5,15624,1485,1815,2208.5
acrB CDS,acrB,b0462,8,15.5,28.5,5493.5,3290.5,27128,1477,2607.5,28712,3396.5,16622,29892.5,3308.5,23265,29796.5,3336,3863,4367.5
acrD CDS,acrD,b2470,14,13,42.5,4586,2857,526.5,134.5,2006.5,919.5,2243.5,2776.5,1546,926,1042,964.5,376.5,472,467
acrE CDS,acrE,b3265,5,0,9.5,1356,843,16,14,618.5,57.5,599.5,817,158.5,255,52,56,10,21.5,14.5
acrF CDS,acrF,b3266,10,14,25.5,4542,2341,345,65,1865.5,684.5,1644.5,2518,1221.5,831,860,615,71,84.5,104.5
acrR CDS,acrR,b0464,3,2,3,837.5,461.5,633.5,172.5,441,967,535,983.5,1466.5,348,1203.5,1251,59,113,130.5
acrZ CDS,acrZ,b0762,12,2,8,375,220.5,364,286,349.5,133,274.5,359,273,411,187.5,308,453,360.5,430
acs CDS,acs,b4069,156,43,51,7404,3746,12213,243,2076,9716,3003,6356,5613,2936,3928,3552,502,481,644
actP CDS,actP,b4067,28,6,10,4163,2281.5,2551,108,1326.5,1358.5,1462.5,2486,981,1337.5,679.5,468.5,122.5,123.5,166.5
ada CDS,ada,b2213,103,25,44,1815.5,1337,793,103,888,1409.5,955.5,1680.5,1970,415,1412,1283,114.5,141.5,163
add CDS,add,b1623,16,6.5,11.5,1891,1210.5,1132.5,263,1041.5,1365.5,1165,1978,2689,829,1717.5,1703.5,377.5,356,429.5
adeD CDS,adeD,b3665,7,11,29,3987.5,2482,339.5,83.5,1495.5,545.5,1560,3088.5,970.5,767,544.5,760,79.5,75,94
adeP CDS,adeP,b3714,4.5,7.5,14,3011,1968.5,2243,748,1350,2380.5,1383.5,2481.5,5719,1443,3696,3065.5,713,634,768
adeQ CDS,adeQ,b3664,5,2.5,17.5,2293,1413.5,13.5,16,930.5,54.5,1119,1231,217,390.5,92.5,69.5,21,19,20
adhE CDS,adhE,b1241,288,144,121,13324.5,5945,50131,3456.5,3488.5,47635.5,3235.5,26926.5,42129,10274,27306.5,23112.5,7932.5,8153,11059
adhP CDS,adhP,b1478,39,18,31,2503.5,1608,2348,428,991.5,4544,1226,4227.5,7825,767,5279.5,4842,208,179.5,243
adiA CDS,adiA,b4117,21,39,27,3380,2090,464,103,1221,691,1006,1823,1069,659,811,624,252,202,211
adiC CDS,adiC,b4115,8,8,9.5,2974.5,1887,26,15,1001,106,1180,1398.5,175,547.5,117.5,61,1,6,18
adiY CDS,adiY,b4116,0,3,4,442.5,380.5,4,6,263,8,139,149.5,52.5,106,28,17,0,0,0
adk CDS,adk,b0474,11,4,14,1957,1166,8369,1152,926,9585,1427,5904,14275,1550,11022,9673,689,707,990
aegA CDS,aegA,b2468,11.5,6,32.5,3469.5,1997.5,414,55,1533.5,729.5,1425,2317,1098,588.5,822,646.5,62,56,91.5
aer CDS,aer,b3072,13,8,25,3777,2159,934,178,1467,1543,1465,2069,2305,852,1839,1900,271,192,247
aes CDS,aes,b0476,3.5,5,5.5,2625,1065,1273.5,430.5,758,4858,931,3154.5,4238,537,3342.5,2286.5,114.5,98,113
afuB CDS,afuB,b0263,0,0,0,0,0,1.5,0,0,2,1,2.5,2,0.5,1.5,2.5,0,0.5,0
afuC CDS,afuC,b0262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agaA CDS,agaA,b3135,1,3,0,1340.5,695,40.5,14.5,419,78.5,317,423,168.5,211,124,107.5,21.5,12.5,22.5
agaB CDS,agaB,b3138,2,0.5,0.5,269,238,15,1,196,31,67.5,184.5,79.5,42.5,34,20.5,1.5,3.5,6.5
agaC CDS,agaC,b3139,0,3.5,5,790,614.5,16.5,8,452.5,28,269.5,505,74,143.5,42.5,20.5,0.5,5.5,3
agaD CDS,agaD,b3140,2,0,4.5,950,711.5,17.5,20,522,56.5,576,747.5,166.5,177,83,34,12,5,19.5
agaI CDS,agaI,b3141,0,2,7,864,538,28,13,378.5,45.5,303,484,162,144,62.5,76,6,8,10
agaR CDS,agaR,b3131,11.5,4.5,10.5,1112,620,1632.5,202.5,397,2707,513.5,1575.5,3527,406.5,2468.5,2244,184.5,197.5,232
agaS CDS,agaS,b3136,2,2,10,1981.5,1197.5,118,23.5,787.5,256.5,746.5,1078.5,550,349,399,297.5,31,39.5,29.5
agaV CDS,agaV,b3133,0,0,8,515,341.5,40,2,381,62.5,389,547,125.5,133.5,68,31.5,19.5,3.5,15
agaW CDS,agaW,b3134,4,1,5.5,620.5,456.5,33.5,8.5,323.5,55.5,362,427.5,102.5,111,56,27.5,20,11,22
agp CDS,agp,b1002,785,246.5,140,2459,1209,1807.5,97,864.5,1258.5,802.5,1958,1198,837,922,609.5,317,326,417
ahpC CDS,ahpC,b0605,119,136,437,43953,15300,147964,44054,15607,505066,28788,157284,643456,44579,429034,186591,9986,9121,12711
ahpF CDS,ahpF,b0606,126,138,283,42973.5,10493.5,530347.5,42164,8043.5,615241,17652.5,206948.5,659152.5,50144.5,514933,428150,3127,2826,3481.5
ahr CDS,ahr,b4269,32,8,19.5,2618,1319,2301.5,209.5,1048.5,3424,916,3255.5,3597,587.5,2776.5,1825.5,308,188,244.5
aidB CDS,aidB,b4187,110,93,99,3857,2270,2187.5,238.5,1443,2410,1551.5,4061,3232.5,1036.5,2022,1724.5,193,187.5,266
ais CDS,ais,b2252,0,1,3,315.5,235,7.5,8,248.5,24,146,350.5,232,55.5,78.5,204,4,2,4
alaA CDS,alaA,b2290,6,5,29,1888,1267,1404.5,608,1321.5,3014,1592.5,2460.5,6979,855,4043.5,3698.5,366,375,522
alaC CDS,alaC,b2379,3,2,24,2760,1850,3160.5,404,1466.5,4984.5,1862.5,8427.5,22319.5,858,16474.5,16952,277,290,323
alaE CDS,alaE,b2670,2,3,3,442.5,455,165.5,72.5,399,461,277,587.5,2481,183.5,2002,2226,207.5,248,220.5
alaS CDS,alaS,b2697,48,31,67,8863,4570.5,45287.5,3098.5,3723.5,53053.5,5133,30649.5,70149,6164,49318.5,56853,3317,3353.5,4383
aldA CDS,aldA,b1415,265.5,111.5,83.5,5243,2434,11525.5,293.5,1335.5,4206,1645,6306.5,4406.5,2716,3182.5,3419,1096.5,973,1320
aldB CDS,aldB,b3588,82,32,34,4500,2612,1127,75,1645,1003,1508,2725,887,860,660,413,128,108,131
alkA CDS,alkA,b2068,5.5,0,23,2166.5,1188,423,72.5,1029.5,720,1218.5,1768,1274.5,422.5,853.5,768,37.5,43.5,70.5
alkB CDS,alkB,b2212,15,9.5,5.5,1043,672.5,234.5,37,466.5,343,584.5,870.5,610,192.5,433.5,338.5,20.5,23,27
allA CDS,allA,b0505,16,2,4,1060.5,602.5,99.5,13.5,601.5,191,640,604.5,187.5,212,130,126.5,12.5,11,19
allB CDS,allB,b0512,6,8,10.5,1496,951,111,19.5,803.5,89.5,689.5,788.5,167.5,292,117.5,64,15.5,23.5,30.5
allC CDS,allC,b0516,5,12.5,16,2360,1376,77.5,24,1078.5,274.5,1134,1299.5,403.5,445,286.5,117.5,9.5,17.5,21
allD CDS,allD,b0517,1,5,10,1296,865,22,10,757,43.5,1091,926.5,161,285.5,67.5,20,6,4,4
allE CDS,allE,b0515,5,4.5,11,1025,914,157.5,40,446.5,241,455,475,269.5,248.5,151,129.5,25.5,24.5,32
allR CDS,allR,b0506,103.5,30,42,1669.5,872.5,1618,301.5,672.5,2644.5,717,1756.5,3316,592.5,2468,1863.5,363.5,322,362
allS CDS,allS,b0504,10,7,15,1547,1175.5,37.5,9,1021.5,82.5,1131.5,1578,272,306.5,184,55,15,16.5,19
alpA CDS,alpA,b2624,1,0,1,124.5,102,3.5,1,90,21.5,61,66,19,29.5,34,7,1,4,2
alr CDS,alr,b4053,11.5,12,23,3841.5,2192,2451.5,302,1783,2533,1902.5,4480,5881,979,4314,4723.5,163.5,178.5,193
alsA CDS,alsA,b4087,2.5,6.5,25,1933,1396.5,83,36.5,1012,132,1130,2365,392.5,446,207.5,209.5,22,23,19
alsB CDS,alsB,b4088,10,3,9.5,1656.5,1049,128.5,26,789.5,267,819,2151,262,393.5,209.5,97.5,32.5,48,29.5
alsC CDS,alsC,b4086,6,2.5,2,1375,927.5,74.5,33,551,119,513,1100,298,317.5,138.5,107,15.5,16,22
alsE CDS,alsE,b4085,0.5,1,8.5,1082,709,135.5,15.5,422.5,255,415.5,1437.5,316,229,215.5,178,14.5,26,11
alsK CDS,alsK,b4084,7,6,8.5,2194,1319.5,254,34,943,371,1081.5,2128.5,473,432.5,365,327,38,39,34
alsR CDS,alsR,b4089,8,5,13.5,1661.5,1126.5,773.5,171,682,1247,752,2420,1453.5,536.5,1008,665,162.5,136,177.5
alx CDS,alx,b3088,1,4,5,1583,951,104,38,571,131,532,570,426,262,240,210,205,265,243
amiA CDS,amiA,b2435,15,3,6,1164.5,588.5,2355,452.5,659,5229.5,567,2665,6233.5,576,4664,3137,427,471,538.5
amiB CDS,amiB,b4169,9.5,12.5,16,3022,1736,6381.5,532,1491.5,7157.5,1503,5871.5,11338.5,1130.5,8967.5,9830.5,573,762,911
amiC CDS,amiC,b2817,5,7,10,2419,1604,1937,292,1414,3968,1285,2208,4169,756,2926,2687,373,397,461
amiD CDS,amiD,b0867,36.5,20,25.5,1866.5,1068,1098.5,103.5,1035.5,1708.5,988.5,1996.5,2173,369.5,1724,1347.5,128.5,139,189.5
amn CDS,amn,b1982,2,12,17,2003,1136.5,1081.5,452.5,913,1169.5,1194.5,1751.5,2659,770,1697.5,1467.5,166.5,120.5,217.5
ampC CDS,ampC,b4150,10.5,6,20,2318,1473.5,575,145.5,953,835,880,1305,1356,632,857,612,95.5,135.5,158
ampD CDS,ampD,b0110,6.5,1.5,8,645.5,402.5,313,34,297.5,308,352,613.5,524,156,396.5,391.5,39,55.5,42.5
ampE CDS,ampE,b0111,4.5,4,4,1171,689,430.5,46.5,402.5,557,379.5,699.5,796,269,608.5,585,63,99.5,69
ampG CDS,ampG,b0433,0.5,6,13.5,2065,1236,383,194,1031.5,389,1321,1577.5,1496.5,571,908.5,1105,73.5,135,180
ampH CDS,ampH,b0376,6,1,9,2068,1217,464,93,879,728,812.5,1427.5,1506,526,1127.5,803,123,107.5,119
amtB CDS,amtB,b0451,4.5,9,22,2945,1583.5,997,79.5,1113.5,626.5,1167,1970,1215.5,589.5,730.5,970,88,82,69
amyA CDS,amyA,b1927,33.5,5,13.5,2239,1340.5,1466.5,249.5,1096.5,2155.5,1054,2481,3153,590,2326.5,1665,104,145.5,185
anmK CDS,anmK,b1640,7,3,12,1512,956.5,1723,206,682.5,3401,754.5,2820,4262.5,411.5,2704,2250,411,370.5,496.5
ansA CDS,ansA,b1767,0,2,10,1242,784.5,826,272,781.5,1006.5,771.5,1169,2010.5,539,1112.5,919,145.5,112.5,177
ansB CDS,ansB,b2957,6,3,4,1263,855.5,656.5,184,589,801.5,538.5,979,1025.5,359,844,904.5,131,86.5,160
ansP CDS,ansP,b1453,4,5,20,2750,1590.5,342.5,118,1073,863,1364,1104.5,1103.5,582,925,868.5,56.5,64,58
apaG CDS,apaG,b0050,5,1,10,881.5,468.5,1292,255,435,1228,605.5,1211.5,2599.5,339,2026.5,2330.5,78,74,113.5
apaH CDS,apaH,b0049,17,9,21,1709,944.5,1658,336.5,768.5,1860,937.5,2274.5,4357,625,3105,3045.5,122,129,142
aphA CDS,aphA,b4055,1,4,10.5,1278.5,881,596,81.5,632,583,890,1619,702.5,381,521,312.5,41.5,58,72.5
appA CDS,appA,b0980,3,5,6,1627.5,1009.5,328.5,46,739.5,566,697,926,898.5,348.5,622.5,468,60.5,65.5,57
appB CDS,appB,b0979,6,9,29,1957,1276.5,268,52.5,831.5,396.5,810,1128,642.5,370.5,440,321,26,46.5,49.5
appC CDS,appC,b0978,8,1,28,2341.5,1657,407.5,38,1023.5,552,904.5,1400,1017.5,501,607,515.5,52,75.5,109
appX CDS,appX,b4592,0,0,1,233,136.5,59.5,12,81,70,59,101.5,87,57.5,60.5,62,11,10.5,14
appY CDS,appY,b0564,0,0,0,30,36,45,21,32,116,13,167,514,44,153,129,54,84,48
apt CDS,apt,b0469,7,7,11,1369.67,846.33,1899,818.33,906.33,2548,1030.67,1671,5921,1228.67,3635.33,3034,382,400,527
aqpZ CDS,aqpZ,b0875,4,9,3,1081,569,86,36,410,161,592,612,378,211,265,179,58,67,77
araA CDS,araA,b0062,64.5,115,207.5,34184.5,12986,137581,10960.5,7469,191535.5,12857,71403,153975,35672,97574,70833.5,25210.5,23963.5,37171
araB CDS,araB,b0063,61.5,96,218.5,29743.5,12615,199309,8296.5,7099,213399.5,11908,71519,141071,33554,100528,82601.5,29108.5,27609.5,40581
araC CDS,araC,b0064,113.5,11.5,34,1492,872.5,2578.5,148.5,799,2623.5,810,1762.5,2754,517.5,2227,1669.5,721.5,762,878.5
araD CDS,araD,b0061,27,25,93,12472,5092,22213,3935.5,2748,38504.5,4606,16832,35940.5,10984,21319.5,12073,5490.5,5341,8411.5
araE CDS,araE,b2841,18,10,30,6181.5,2865.5,33024.5,812.5,1080.5,19071.5,2338.5,10721.5,9325,4644.5,7017,6103.5,6081.5,6496,9127
araF CDS,araF,b1901,19,23,45,6695,3465,47641,223.5,871,9376.5,1516.5,13054,3273.5,8578.5,2603,1923.5,4995.5,5018,6647
araG CDS,araG,b1900,17,27,63.5,8013,3072.5,28182.5,272.5,1172.5,4822.5,1641.5,9666.5,2889.5,7031,1869.5,1629.5,2251,2422,3317
araH CDS,araH,b4460,29,14,28.5,4870,2219.5,11469.5,299,769.5,2440,1088,5276.5,1905,4626.5,1183.5,923,1295.5,1449,1960
araJ CDS,araJ,b0396,3,5,19,2356.5,1339,1908,139,1085,1040.5,1738,3813,2181,861.5,1502.5,1149.5,457,387,402.5
arcA CDS,arcA,b4401,125,36,22,1991.5,1131.5,7896.5,668.5,686,10510,732,4454.5,8598.5,1245.5,5968.5,4020.5,2446.5,2463,3276
arcB CDS,arcB,b3210,22,16,32,3928.5,2469,4945,733,2199.5,4823.5,2412,5061.5,8540,1700,6374.5,6252,434.5,482,640
arfA CDS,arfA,b4550,2.5,3,6,232.5,255,568.5,402.5,247,1668,280,301,1725.5,507.5,1427,1241.5,184.5,156,135
arfB CDS,arfB,b0191,18.5,5.5,9,718,466.5,1127,79.5,364,1503,292,1269.5,1817.5,285,1667.5,1391,107.5,127.5,125
argA CDS,argA,b2818,10,1,15,2140.5,1314.5,638,69,947,966,1168,1653.5,1015,529,858,677,1515,1628.5,1868.5
argB CDS,argB,b3959,4,4,6,1921.5,1241.5,631,54.5,832,726.5,711,1817.5,736,410,605.5,501.5,725,684,799.5
argC CDS,argC,b3958,2,5,14,1812,1239.5,262,41,807,327.5,868,1411.5,457.5,432.5,336.5,301,570.5,609,848
argD CDS,argD,b3359,6.5,3.5,19,2908.5,1570,1069.5,115.5,1101,952.5,1185,1793.5,1300.5,699,948.5,802,2150.5,2085.5,2527.5
argE CDS,argE,b3957,11,14,18,2645,1373,2244,328,1074,3245,1068,3251,4186,872,3391,3372,687,625,886
argF CDS,argF,b0273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
argG CDS,argG,b3172,15.5,10,23.5,1579.5,1038.5,2041.5,197,643,2729.5,495,2088.5,2863,505,1900,1286.5,2199,2049,2458.5
argH CDS,argH,b3960,15,10,22,3669.5,2272,2138,1190.5,1383,3628,1201,4210,4185.5,1200.5,2866,2452.5,1171.5,1076,1258.5
argI CDS,argI,b4254,14,7,9,1902.5,1066.5,35,22,622,63.5,493.5,614.5,103.5,254,83,54,410,381,398
argK CDS,argK,b2918,4,2,10.5,1599.5,997.5,154,23,808.5,329,1005.5,1451.5,559.5,334,375,357.5,26.5,19,16.5
argO CDS,argO,b2923,0.5,3,11.5,994,682,408.5,79.5,580.5,639,460.5,743.5,855.5,269,606,546,43.5,40,68
argP CDS,argP,b2916,0,3,13,1875,1047.5,940,209,876.5,2065,808,1573,3339,502,2321,1685,138,158,150
argR CDS,argR,b3237,8,10,7,694,449,1236,108,277,941,237,596,1101,340,760,634,197,207,238
argS CDS,argS,b1876,22,4,25,2387,1835,10420,875,1741,14844,1455,5603,15655,1855,11547,10533,837,797,983
argT CDS,argT,b2310,82,21,5,908,609,2708,122,411,2848,413,1732,3107,502,2314,2425,202,220,267
ariR CDS,ariR,b1166,5.5,0,0.5,46.5,30.5,68,10,32,79,28,103.5,135.5,16,89,48,21.5,17.5,28.5
arnA CDS,arnA,b2255,10,5,26,2415.5,1630.5,502,368,1445.5,1136.5,1643.5,2035,2495,672,1521,1453.5,126.5,99,107.5
arnB CDS,arnB,b2253,1.5,3.5,21.5,1493.5,1059.5,132.5,46,700,218.5,705,673.5,415.5,349.5,261.5,183,18,22,18
arnC CDS,arnC,b2254,3.5,7.5,8.5,1419.5,920.5,68.5,11,686.5,99,616.5,572,221.5,256.5,119,80.5,12,7.5,11
arnD CDS,arnD,b2256,2,0,4,993,638.5,255.5,121.5,521,674.5,457.5,615,1095.5,285.5,776.5,814.5,46.5,43.5,45
arnE CDS,arnE,b4544,6,2.5,2.5,466,295.5,51,34.5,183.5,81,161,175,189,98.5,130,85.5,9.5,10,16.5
arnF CDS,arnF,b2258,6,1.5,9,712.5,440.5,113,28.5,331,285,260.5,359.5,480.5,181,267.5,193.5,20,13,26
arnT CDS,arnT,b2257,2,25,19.5,2145.5,1374,135,66,1007.5,257.5,922,1043.5,571,417.5,397,329.5,46,22,37
aroA CDS,aroA,b0908,2,12,7.5,2205,1093,5284,687,863.5,4457,1728.5,5389.5,8354,939,6968,8006.5,271,270,432
aroB CDS,aroB,b3389,19.5,24.5,27,3533.5,2176,7060,904,1504.5,7990,1840,5520.5,13020,1900.5,8258.5,9092,818,868,930.5
aroC CDS,aroC,b2329,2.5,11,19,2584.5,1527.5,4897.5,528.5,1366.5,5476,1658.5,5183.5,10195.5,1081,7525.5,7848.5,284.5,356.5,471.5
aroD CDS,aroD,b1693,1,5.5,8,1200,809.5,508.5,75.5,810.5,896.5,1088.5,1394.5,1275.5,326.5,907.5,550.5,69,64.5,126.5
aroE CDS,aroE,b3281,21,9,13,1326.5,638.5,2869,795,578,2925.5,1246.5,2269.5,7445,796,5510.5,7326.5,223.5,167.5,240.5
aroF CDS,aroF,b2601,7.5,8.5,14,1363.5,1085.5,3479.5,334,951,3648.5,940,2888,6823.5,829.5,5625,6338,2046.5,2174,2308
aroG CDS,aroG,b0754,20,16,22,2619,1018,4550,1195,1085,9122,2078,5068,16758,1312,12489,8642,435,436,543
aroH CDS,aroH,b1704,16,2,7,1429.5,900.5,1142,573,984,2225.5,1294.5,2110.5,6012,636,3731.5,3335,140,132,169
aroK CDS,aroK,b3390,3,7,10,1437.5,790,5061.5,648.5,937,5853.5,1118.5,3750,9351.5,984.5,6737.5,6288.5,536,613.5,697.5
aroL CDS,aroL,b0388,9.5,1,8.5,1073,625,1513,402.5,565.5,1308,1036,1346,2467,677,1773.5,2230,290,305.5,314.5
aroM CDS,aroM,b0390,13,6,5.5,1036,712.5,1304.5,314,619.5,2972,609.5,2557.5,5553,565.5,3646,2961.5,211.5,217.5,185
aroP CDS,aroP,b0112,17,3,17,1703.5,1059,1728,321.5,733,2274,778.5,1658.5,3238.5,577.5,2379.5,2085.5,627,583,728.5
arpA CDS,arpA,b4017,1,1,6.5,889,660,54.5,14,746.5,48.5,568.5,892,473.5,206.5,134,117.5,6,14,11
arpB CDS,arpB,b4494,0,0,2,611,570,44,26,556,40,448,229,204,179,105,103,7,8,2
arsB CDS,arsB,b3502,8.5,19.5,27.5,3341.5,1746.5,105,20,1198.5,213,1530,1883.5,307.5,554,226.5,103,51.5,33.5,48.5
arsC CDS,arsC,b3503,12,8,9,1079.5,622.5,55.5,11,467.5,98.5,667,984,192,206,147.5,57.5,16,18,26.5
arsR CDS,arsR,b3501,0.5,0.5,4.5,439,389,13.5,6,171,32.5,110,167.5,51.5,86,19,6.5,15.5,16.5,6
artI CDS,artI,b0863,11.5,5.5,26.5,1316.5,776.5,4966.5,322.5,587.5,3781.5,580.5,2773.5,4176,690,3047,2188,692.5,757,998.5
artJ CDS,artJ,b0860,2,2,1,718,688,171,44,351,129,245,449,320,204,246,198,769,865,1009
artM CDS,artM,b0861,4.5,3,4.5,1280,869,2206.5,172,591,1535.5,554.5,1707.5,2023.5,524,1482.5,1245,331.5,285,347.5
artP CDS,artP,b0864,11.5,6,8,1320,941.5,2129.5,226,718.5,2452.5,676.5,2126.5,2998.5,525.5,2094.5,1576,611,556.5,803.5
artQ CDS,artQ,b0862,7.5,5.5,8,1513.5,1047,2526.5,164.5,660,2141.5,528.5,1938.5,2929,490.5,2006,1691,299,367.5,439.5
ascB CDS,ascB,b2716,7,7,19,2729,1738,551,85.5,1116.5,959,1499.5,2039,1674.5,604.5,1345.5,1260,181.5,180,210
ascF CDS,ascF,b2715,23,11,15,2863,1626,405,48.5,1266.5,816,1384.5,2160,1477.5,563.5,1015.5,1045,79.5,101,75
ascG CDS,ascG,b2714,0,8,6,2365,1210.5,1474,153,1027,2404,1270,1870,2350,596,1682,1605,124,128,176
asd CDS,asd,b3433,14,16,29,3287,1644,6223,841,1167,7638,1865,5036,10203,1480,8128,7890,1106,938,1623
aslA CDS,aslA,b3801,2,11,17,2362,1557,146,42,931,247,843,1618,374,429,236,196,63,51,51
aslB CDS,aslB,b3800,5,4,26,2625,1570,202,83,1120,268,1044,1633,522,472,383,279,100,43,61
asmA CDS,asmA,b2064,7,8,19.5,2694.5,1678.5,1611,276,1370,1956.5,1386,2191,3543.5,776.5,2527,2744.5,204.5,231.5,206.5
asnA CDS,asnA,b3744,5,19,9.5,2178.5,1193,2348.5,148.5,860,3095,724,3334.5,4412,668,2743.5,2372,272.5,255,308
asnB CDS,asnB,b0674,18,13,19,4113,2048,19241,1821,1656,34643,2592,14848,36121,2600,27726,24497,1842,1856,2403
asnC CDS,asnC,b3743,16,12.5,10.5,1610,906.5,1964,1291,1019.5,2566,789,1909.5,4905.5,1961,2557.5,1742.5,768,616,749.5
asnS CDS,asnS,b0930,25,13,29,4001,2288,20211,2537,2339,26537,3114,10532,27334,3795,20415,19049,3496,3028,4105
aspA CDS,aspA,b4139,256,76,36,2351,1693,12659,348.5,512.5,4093.5,425,2622.5,2945.5,2541,1824.5,1537.5,1750.5,1487.5,2182.5
aspC CDS,aspC,b0928,22,30,50,5985,2664,17350,2589,2335,21545,2833,9597,26163,5182,16528,11911,3473,3498,5228
aspS CDS,aspS,b1866,13,19,28,3921.5,2613,13776.5,1237.5,2187,19212.5,2422,9247.5,23490,2407.5,16617,17955.5,1380.5,1366.5,1821
asr CDS,asr,b1597,4,1,6,494,295,29.5,116.5,322,296,329.5,290,899,185,488,285.5,77.5,42.5,51
