Name,gene,locus_tag,Stationary rep1,Stationary rep2,Stationary rep3,3h fresh media rep1,3h fresh media rep2,3h fresh media rep3,3h queueing rep1,3h queueing rep2,3h queueing rep3,3h amp media rep1,3h amp media rep2,3h amp media rep3,3h queueing amp rep1,3h queueing amp rep2,3h queueing amp rep3,6h amp media rep1,6h amp media rep2,6h amp media rep3
yhbX CDS,yhbX,b3173,5.5,0,9.5,949.5,572.5,52.5,28,435,127.5,328,382.5,271,184,134,149.5,29,23,40.5
yhbY CDS,yhbY,b3180,7.5,1,14,732,541.5,2542.5,503,634,2691,673.5,1323,4398.5,904,3346.5,2820,834,896.5,1181
yhcA CDS,yhcA,b3215,5,2.5,9,331,337,19.5,14.5,193,48,142,126.5,88,100.5,53.5,52,7,5.5,5.5
yhcB CDS,yhcB,b3233,4,8,7,1217,487,2490,309,454,3825,636,2229,5798,564,4149,2658,605,558,783
yhcC CDS,yhcC,b3211,4,0,9,1475.5,1011,50,21,812.5,80.5,737,932.5,247,316,118.5,117,11.5,21,5
yhcD CDS,yhcD,b3216,13,9.5,14,1378.5,1313,182.5,130.5,827.5,388.5,517,569.5,587.5,333,411,380.5,37,65.5,63
yhcE CDS,yhcE,b4569,2,6,4,743,450.5,98,30.5,396,201.5,273,469,387.5,183.5,235,157.5,9.5,25,24
yhcF CDS,yhcF,b3219,6,10,16.5,510,381,117.5,49.5,254,171,121,158.5,265,122,172.5,151,39,53.5,42
yhcG CDS,yhcG,b3220,7,8,8.5,1163.5,825.5,183.5,97,549,330,583,811,473.5,282,317,237,35.5,49.5,45
yhcH CDS,yhcH,b3221,15,0,10,840,507.5,594.5,39.5,361,822,322,816.5,821,237,602,499.5,111.5,111.5,101
yhcN CDS,yhcN,b3238,12,4,2,406.5,272.5,348.5,308.5,259.5,353.5,168.5,594,1298.5,240.5,726,392,98,60.5,76
yhcO CDS,yhcO,b3239,10,3,5,393,192,105,26.5,156,128.5,133.5,332.5,219.5,95.5,110.5,114.5,41,39.5,22.5
yhdE CDS,yhdE,b3248,3.5,10,19,1154,621,1157,197,539.5,1269.5,636.5,1222,2266,380,1945.5,2115,133,178,216
yhdH CDS,yhdH,b3253,35,5,20,2201,1064,1261,165,830,1511,746,1892,1743,551,1117,907,593,587,656
