"Gene.Symbols","UniProt.IDs","High temp. Remodeling Score","Amino acids Remodeling Score","Anaerobic Remodeling Score","Galactose Remodeling Score","Glucose Remodeling Score","Max growth rate Remodeling Score","Near-zero growth Remodeling Score","Stationary phase Remodeling Score","Xylose Remodeling Score"
"yoaH;yodD;yobA;yohF","P67338;P64519;P0AA57;P33368",-0.149566074446526,0.183482448226363,0.0842870771318964,-0.225721155306588,0.523427078255402,-0.214692323634276,-0.325088167257691,-0.366888457433017,-0.014370788545564
"ybaV;ybcH;ybcL;ybcJ;ybaY;ybaB;ybaM;ybbN;ybbA","P0AAR8;P37325;P77368;P0AAS7;P77717;P0A8B5;P45807;P77395;P0A9T8",0.173792283550993,0.0354691812741156,0.0304060216273178,-0.125515670219641,-0.186457530478934,-0.00706907767120764,-0.242024532976925,-0.204328315029251,-0.138320940695313
"dcrB;ddlB;ddlA;ddpA","P0AEE1;P07862;P0A6J8;P76128",-0.580935633969738,-0.667463014512569,-0.657732790105437,-0.803733779263384,-1.00378832297753,-0.898082274767697,-1.27587803932082,-0.628409327070365,-0.731222910956428
"iscU;iscR;ispA;ispE;iscA;infB;infC;iscS;ispG;ispH;ispD;ispF","P0ACD4;P0AGK8;P22939;P62615;P0AAC8;P0A705;P0A707;P0A6B7;P62620;P62623;Q46893;P62617",0.44655758105509,0.00690147842444365,0.010157673686298,0.134333847316931,0.253359123531394,0.114115037030022,-0.239445265403404,-0.268259328411316,0.0301611904919761
"malQ;manX;malY;malZ","P15977;P69797;P23256;P21517",-0.322254802125668,-0.301888405985101,-0.495090542661345,-0.230152838691834,-0.0687405066882811,-0.611811311529379,-0.139278567265637,0.0394978961174853,-0.125439603668616
"yfiC;yfgJ;yfhM;yfiF;yfiH;ygaU;ygaM;yfgM;ygaC;yfhH;ygbI","P31825;P76575;P76578;P0AGJ5;P33644;P0ADE6;P0ADQ7;P76576;P0AD53;P37767;P52598",0.461655108879552,0.161622398765921,0.369234954979485,0.584312146313977,0.454239872269708,0.304600225961103,0.337894131906758,0.411019855795146,0.193302119750234
"gudD;guaD;guaC;guaA;gstB;gshB;gss;guaB;gsk;gstA","P0AES2;P76641;P60560;P04079;P0ACA7;P04425;P0AES0;P0ADG7;P0AEW6;P0A9D2",0.0955179223556771,0.0671833457385518,0.197513831727608,0.209392411873755,0.164460494487957,0.221419086212362,-0.0146383999797235,0.0772309623471778,0.101911547297247
"yjeI;yjbD;yjbR;yjdC;yjdI;yjgR;yjbJ;yjhC;yjgA;yjdJ;yjgM;yjjA;yjhG","P0AF70;P32685;P0AF50;P0ACU7;P0AF59;P39342;P68206;P39353;P0A8X0;P39274;P39337;P18390;P39358",-0.0726750127290687,0.0218493918340706,-0.283944643423586,-0.152253324175217,0.0332901617571664,-0.200437079906455,-0.0510048682435923,-0.125679510879213,-0.160868018689518
"yegW;yegU;yehS;yeiG;yehT;yeiP","P0ACM5;P76418;P33355;P33018;P0AFT5;P0A6N8",0.247934166996417,0.148405949690084,0.258832444100778,0.645034520375913,0.363426886388549,0.443314382353606,0.172052307608595,0.695601295419147,0.416450442433344
"moeA;moaC;moaB;moaD;moaE;mprA;mobA;modE;mog","P12281;P0A738;P0AEZ9;P30748;P30749;P0ACR9;P32173;P0A9G8;P0AF03",0.039786345852612,-0.134742318631808,0.111808571751606,-0.306092080729123,0.112822999208864,0.185520279854594,-0.357379589558768,-0.102153098115769,0.0238231560913937
"mpaA;moeA;moaE;modF;mobA;modE;mog;mobB","P0ACV6;P12281;P30749;P31060;P32173;P0A9G8;P0AF03;P32125",0.071177954456578,0.0141355719321945,0.119125898618282,0.0621956598228618,-0.0181174578362255,0.0273598851027617,-0.362357757655267,-0.191483190784116,-0.2993802067695
"rimK;rihC;ridA;ribD;ribC;rimJ;ribB;rimI;ribF;ribE;rihA","P0C0U4;P22564;P0AF93;P25539;P0AFU8;P0A948;P0A7J0;P0A944;P0AG40;P61714;P41409",0.0476105586850774,-0.115303219513207,0.103438570828797,0.118346972887871,-0.125557368503122,0.115434565045471,0.122300528824595,-0.0185752364842485,-0.118345605040434
"gcvT;gdhA;ghrB;ghoS;glcB;gcvR;ghrA;ggt","P27248;P00370;P37666;P0AF61;P37330;P0A9I3;P75913;P18956",0.226322907142098,-0.0709203864157998,0.327596957893,-0.0642545132999221,0.119019404608325,-0.00352385493874341,-0.273588209112829,-0.228818551792088,-0.183378547240928
