gene,b_accession
essQ,b1556
cspB,b1557
cspF,b1558
ydfT,b1559
ydfU,b1560
rem,b1561
hokD,b1562
relE,b1563
relB,b1564
ydfV,b1565
flxA,b1566
ydfW,b1567
ydfX,b1568
dicC,b1569
dicA,b1570
ydfA,b1571
ydfB,b1572
ydfC,b1573
dicF,b1574
dicB,b1575
ydfD,b1576
ydfE,b1577
insD-7,b1578
intQ,b1579
ynfP,b4534
yeaJ,b1786
flhE,b1878
flhA,b1879
flhB,b1880
cheZ,b1881
cheY,b1882
cheB,b1883
cheR,b1884
tap,b1885
tar,b1886
cheW,b1887
cheA,b1888
motB,b1889
motA,b1890
flhC,b1891
flhD,b1892
insB-5,b1893
insA-5,b1894
yecC,b1917
yecS,b1918
yedO,b1919
fliY,b1920
fliZ,b1921
fliA,b1922
fliC,b1923
fliD,b1924
fliS,b1925
fliT,b1926
amyA,b1927
yedD,b1928
yedE,b1929
yedF,b1930
yedK,b1931
yedL,b1932
yedN,b4495
yedM,b1935
intG,b1936
fliE,b1937
fliF,b1938
fliG,b1939
fliH,b1940
fliI,b1941
fliJ,b1942
fliK,b1943
fliL,b1944
fliM,b1945
fliN,b1946
fliO,b1947
fliP,b1948
fliQ,b1949
fliR,b1950
insH-6,b1994
yoeA,b4582
insD-3,b1996
insC-3,b1997
yeeP,b1999
isrC,b4435
flu,b2000
yeeR,b2001
yeeS,b2002
yeeT,b2003
yeeU,b2004
yeeV,b2005
yeeW,b2006
yoeF,b4538
yeeX,b2007
yeeA,b2008
wbbL,b4571
insH-7,b2030
wbbK,b2032
wbbJ,b2033
wbbI,b2034
wbbH,b2035
glf,b2036
rfbX,b2037
rfbC,b2038
rfbA,b2039
rfbD,b2040
rfbB,b2041
galF,b2042
wcaM,b2043
wcaL,b2044
wcaK,b2045
wzxC,b2046
wcaJ,b2047
cpsG,b2048
cpsB,b2049
wcaI,b2050
nudD,b2051
fcl,b2052
gmd,b2053
wcaF,b2054
wcaE,b2055
wcaD,b2056
wcaC,b2057
