source_record	motif_label	source_species	source_file	sha256	retrieval_url	retrieved_on	ingestion_transform	redistribution_posture
MAX.H14CORE.0.PS.A	MAX	Homo sapiens	MAX.H14CORE.0.PS.A.meme	c84263e4960266bd65070f9ed68b6de2fa531ede702dce2eecb424b5a3bf47c2	https://hocomoco14.autosome.org/final_bundle/hocomoco14/H14CORE/formatted_motifs/meme/MAX.H14CORE.0.PS.A_meme_format.meme	2026-08-28	terminal_blank_line_normalization_v1	WTFPL_treat_as_CC-BY_per_official_download_page
MYCN.H14CORE.0.PS.A	MYCN	Homo sapiens	MYCN.H14CORE.0.PS.A.meme	d349259cc26b1f5a87ebe86d30d3fba0ffb8ad8a3132c4118a4fd2b39a1a08b7	https://hocomoco14.autosome.org/final_bundle/hocomoco14/H14CORE/formatted_motifs/meme/MYCN.H14CORE.0.PS.A_meme_format.meme	2026-08-28	terminal_blank_line_normalization_v1	WTFPL_treat_as_CC-BY_per_official_download_page
SP1.H14CORE.0.P.B	SP1	Mus musculus	SP1.H14CORE.0.P.B.meme	04bfe665dc4ff9facbf1190b60d09637945d892e030d5c4e4ce64cf8abf71e48	https://hocomoco14.autosome.org/final_bundle/hocomoco14/H14CORE/formatted_motifs/meme/SP1.H14CORE.0.P.B_meme_format.meme	2026-08-28	terminal_blank_line_normalization_v1	WTFPL_treat_as_CC-BY_per_official_download_page
